ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
262,Haircare,Premature Greying,Straight,Scalp Irritation; Uneven Tone,Banana; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
263,Haircare,Oily Scalp,Normal,Breakage; Scalp Irritation,Turmeric; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
266,Haircare,Hair Thinning,Dry,Excess Oil; Dark Spots,Yogurt; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
269,Haircare,Hair Thinning,Oily,Dull Appearance; Roughness,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
270,Haircare,Hair Growth,Curly,Scalp Irritation; Breakage,Egg Yolk; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
272,Haircare,Split Ends,Oily,Hair Shedding; Scalp Irritation,Potato Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
273,Haircare,Premature Greying,Normal,Flaky Skin; Hair Shedding,Egg Yolk; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
275,Haircare,Hair Growth,Oily,Breakage; Inflammation,Neem Powder; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
278,Haircare,Hair Growth,Normal,Uneven Tone; Dull Appearance,Multani Mitti; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
279,Haircare,Itchy Scalp,Curly,Redness; Breakage,Aloe Vera; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
280,Haircare,Hair Growth,Normal,Itching; Uneven Tone,Castor Oil; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
287,Haircare,Frizzy Hair,All,Hair Shedding; Roughness,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
288,Haircare,Hair Thinning,Oily,Hair Shedding; Dry Texture,Honey; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
289,Haircare,Hair Growth,Dry,Excess Oil; Dull Appearance,Onion Juice; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
290,Haircare,Dry Hair,Normal,Itching; Redness,Gram Flour; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
291,Haircare,Hair Thinning,Curly,Itching; Flaky Skin,Olive Oil; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
294,Haircare,Hair Growth,Straight,Inflammation; Dull Appearance,Egg Yolk; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
296,Haircare,Hair Growth,Dry,Uneven Tone; Dark Spots,Curd; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
297,Haircare,Hair Thinning,Normal,Dull Appearance; Excess Oil,Banana; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
298,Haircare,Premature Greying,Normal,Redness; Excess Oil,Honey; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
299,Haircare,Dandruff,Curly,Dark Spots; Roughness,Papaya; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
300,Haircare,Hair Growth,Straight,Redness; Dull Appearance,Multani Mitti; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
301,Haircare,Hair Growth,All,Excess Oil; Inflammation,Aloe Vera; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
302,Haircare,Hair Thinning,Curly,Excess Oil; Inflammation,Onion Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
303,Haircare,Split Ends,All,Itching; Flaky Skin,Curd; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
308,Haircare,Dandruff,All,Itching; Dull Appearance,Multani Mitti; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
309,Haircare,Hair Fall,Curly,Dull Appearance; Excess Oil,Onion Juice; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
310,Haircare,Dry Hair,Normal,Inflammation; Itching,Banana; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
313,Haircare,Oily Scalp,Normal,Redness; Excess Oil,Aloe Vera; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
314,Haircare,Oily Scalp,Straight,Redness; Dry Texture,Potato Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
316,Haircare,Split Ends,Oily,Excess Oil; Redness,Papaya; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
321,Haircare,Split Ends,Oily,Roughness; Inflammation,Olive Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
324,Haircare,Frizzy Hair,Curly,Redness; Scalp Irritation,Castor Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
325,Haircare,Oily Scalp,Straight,Scalp Irritation; Hair Shedding,Neem Powder; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
327,Haircare,Split Ends,Normal,Dark Spots; Flaky Skin,Honey; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
328,Haircare,Dandruff,Oily,Redness; Dull Appearance,Rose Water; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
330,Haircare,Dry Hair,Straight,Inflammation; Redness,Egg Yolk; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
331,Haircare,Itchy Scalp,Oily,Hair Shedding; Uneven Tone,Egg Yolk; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
337,Haircare,Oily Scalp,Curly,Uneven Tone; Roughness,Fenugreek Seeds; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
341,Haircare,Dandruff,All,Dark Spots; Breakage,Honey; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
343,Haircare,Frizzy Hair,Normal,Uneven Tone; Itching,Castor Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
345,Haircare,Oily Scalp,Straight,Redness; Inflammation,Egg Yolk; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
346,Haircare,Hair Fall,Curly,Breakage; Dull Appearance,Gram Flour; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
350,Haircare,Split Ends,Normal,Hair Shedding; Breakage,Lemon Juice; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
351,Haircare,Split Ends,All,Hair Shedding; Dull Appearance,Olive Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
353,Haircare,Dry Hair,All,Inflammation; Dark Spots,Banana; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
355,Haircare,Premature Greying,Oily,Redness; Uneven Tone,Yogurt; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
363,Haircare,Hair Fall,Curly,Breakage; Dry Texture,Papaya; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
364,Haircare,Hair Fall,Straight,Excess Oil; Breakage,Lemon Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
365,Haircare,Hair Fall,Oily,Roughness; Dry Texture,Egg Yolk; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
369,Haircare,Dandruff,Curly,Breakage; Itching,Aloe Vera; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
370,Haircare,Hair Fall,All,Dry Texture; Breakage,Onion Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
371,Haircare,Frizzy Hair,Curly,Flaky Skin; Dull Appearance,Egg Yolk; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
373,Haircare,Hair Growth,Curly,Uneven Tone; Scalp Irritation,Yogurt; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
374,Haircare,Hair Fall,Curly,Flaky Skin; Dry Texture,Coconut Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
375,Haircare,Hair Thinning,All,Roughness; Breakage,Gram Flour; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
376,Haircare,Split Ends,Straight,Hair Shedding; Flaky Skin,Potato Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
378,Haircare,Dandruff,Straight,Uneven Tone; Dry Texture,Aloe Vera; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
379,Haircare,Premature Greying,Curly,Roughness; Uneven Tone,Egg Yolk; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
380,Haircare,Hair Thinning,Curly,Scalp Irritation; Redness,Neem Powder; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
382,Haircare,Split Ends,Curly,Dark Spots; Hair Shedding,Papaya; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
383,Haircare,Premature Greying,All,Dry Texture; Roughness,Yogurt; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
384,Haircare,Dry Hair,Oily,Uneven Tone; Breakage,Honey; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
387,Haircare,Hair Growth,Straight,Flaky Skin; Roughness,Gram Flour; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
389,Haircare,Hair Fall,Normal,Flaky Skin; Hair Shedding,Banana; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
390,Haircare,Hair Fall,Curly,Flaky Skin; Scalp Irritation,Yogurt; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
391,Haircare,Dandruff,Normal,Roughness; Inflammation,Turmeric; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
392,Haircare,Premature Greying,All,Roughness; Breakage,Fenugreek Seeds; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
393,Haircare,Hair Thinning,Oily,Roughness; Flaky Skin,Lemon Juice; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
399,Haircare,Hair Growth,Oily,Inflammation; Dull Appearance,Castor Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
