ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
142,Haircare,Premature Greying,Dry,Scalp Irritation; Uneven Tone,Onion Juice; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
143,Haircare,Hair Growth,Straight,Dark Spots; Dull Appearance,Yogurt; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
144,Skincare,Acne,Combination,Dull Appearance; Scalp Irritation,Egg Yolk; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
145,Skincare,Blackheads,Dry,Dry Texture; Flaky Skin,Fenugreek Seeds; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
146,Haircare,Split Ends,All,Redness; Itching,Multani Mitti; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
147,Haircare,Itchy Scalp,Normal,Excess Oil; Dull Appearance,Potato Juice; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
148,Skincare,Dry Skin,Sensitive,Breakage; Redness,Castor Oil; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
149,Skincare,Dark Circles,Sensitive,Dry Texture; Inflammation,Yogurt; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
150,Haircare,Itchy Scalp,Oily,Breakage; Dark Spots,Lemon Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
151,Haircare,Dry Hair,Straight,Dark Spots; Excess Oil,Olive Oil; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
152,Skincare,Sun Tan,All,Dull Appearance; Uneven Tone,Neem Powder; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
153,Haircare,Split Ends,Dry,Inflammation; Excess Oil,Coconut Oil; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
154,Haircare,Hair Thinning,All,Dry Texture; Redness,Coconut Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
155,Skincare,Blackheads,Oily,Dark Spots; Roughness,Honey; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
156,Skincare,Dull Skin,Sensitive,Breakage; Dark Spots,Yogurt; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
157,Haircare,Itchy Scalp,Dry,Uneven Tone; Excess Oil,Castor Oil; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
158,Skincare,Wrinkles,Dry,Uneven Tone; Dark Spots,Green Tea; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
159,Haircare,Oily Scalp,Dry,Redness; Inflammation,Onion Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
160,Skincare,Rashes,Dry,Inflammation; Roughness,Neem Powder; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
161,Skincare,Sensitive Skin,Sensitive,Excess Oil; Flaky Skin,Rose Water; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
162,Haircare,Hair Fall,Curly,Dark Spots; Scalp Irritation,Honey; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
163,Haircare,Split Ends,Dry,Inflammation; Roughness,Neem Powder; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
164,Haircare,Dandruff,All,Excess Oil; Uneven Tone,Neem Powder; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
165,Skincare,Acne,Sensitive,Excess Oil; Hair Shedding,Olive Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
166,Skincare,Pigmentation,Combination,Dark Spots; Flaky Skin,Fenugreek Seeds; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
167,Haircare,Split Ends,Oily,Hair Shedding; Dark Spots,Fenugreek Seeds; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
168,Skincare,Dry Skin,Combination,Flaky Skin; Roughness,Aloe Vera; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
169,Skincare,Acne,Dry,Roughness; Flaky Skin,Castor Oil; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
170,Haircare,Dandruff,Curly,Flaky Skin; Itching,Fenugreek Seeds; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
171,Skincare,Pigmentation,Dry,Inflammation; Roughness,Gram Flour; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
172,Haircare,Frizzy Hair,Dry,Breakage; Excess Oil,Rose Water; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
173,Haircare,Dandruff,Oily,Breakage; Flaky Skin,Honey; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
174,Skincare,Blackheads,Combination,Uneven Tone; Redness,Olive Oil; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
175,Skincare,Dull Skin,Combination,Excess Oil; Inflammation,Lemon Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
176,Skincare,Acne,Normal,Dark Spots; Uneven Tone,Potato Juice; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
177,Haircare,Hair Fall,Curly,Hair Shedding; Excess Oil,Rose Water; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
178,Haircare,Premature Greying,Curly,Uneven Tone; Hair Shedding,Papaya; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
179,Skincare,Rashes,All,Dark Spots; Roughness,Curd; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
180,Haircare,Itchy Scalp,Normal,Breakage; Hair Shedding,Banana; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
181,Skincare,Blackheads,All,Roughness; Excess Oil,Castor Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
182,Haircare,Hair Growth,All,Roughness; Inflammation,Egg Yolk; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
183,Haircare,Oily Scalp,Dry,Hair Shedding; Dull Appearance,Potato Juice; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
184,Haircare,Itchy Scalp,Oily,Excess Oil; Itching,Multani Mitti; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
185,Haircare,Itchy Scalp,Oily,Itching; Scalp Irritation,Papaya; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
186,Haircare,Split Ends,Dry,Flaky Skin; Excess Oil,Coconut Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
187,Skincare,Sensitive Skin,Dry,Scalp Irritation; Inflammation,Aloe Vera; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
188,Haircare,Dry Hair,All,Redness; Excess Oil,Curd; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
189,Skincare,Blackheads,All,Dark Spots; Inflammation,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
190,Skincare,Dull Skin,Sensitive,Itching; Breakage,Green Tea; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
191,Haircare,Hair Growth,Oily,Flaky Skin; Dry Texture,Olive Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
192,Haircare,Split Ends,All,Excess Oil; Redness,Papaya; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
193,Haircare,Split Ends,Normal,Itching; Scalp Irritation,Turmeric; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
194,Skincare,Wrinkles,Combination,Hair Shedding; Uneven Tone,Fenugreek Seeds; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
195,Skincare,Oily Skin,Sensitive,Dry Texture; Roughness,Rose Water; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
196,Haircare,Hair Thinning,Straight,Hair Shedding; Dark Spots,Green Tea; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
197,Haircare,Hair Thinning,Oily,Uneven Tone; Dark Spots,Rose Water; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
198,Haircare,Itchy Scalp,Normal,Inflammation; Breakage,Honey; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
199,Skincare,Blackheads,All,Flaky Skin; Dark Spots,Aloe Vera; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
200,Skincare,Wrinkles,Dry,Redness; Flaky Skin,Fenugreek Seeds; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
201,Skincare,Pigmentation,Combination,Itching; Excess Oil,Yogurt; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
202,Haircare,Oily Scalp,Oily,Itching; Excess Oil,Olive Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
203,Skincare,Pigmentation,Normal,Inflammation; Uneven Tone,Aloe Vera; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
204,Haircare,Frizzy Hair,Oily,Dark Spots; Dry Texture,Castor Oil; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
205,Skincare,Oily Skin,All,Hair Shedding; Uneven Tone,Egg Yolk; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
206,Haircare,Itchy Scalp,All,Roughness; Excess Oil,Fenugreek Seeds; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
207,Haircare,Hair Fall,All,Inflammation; Excess Oil,Gram Flour; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
208,Haircare,Dandruff,Straight,Roughness; Inflammation,Rose Water; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
209,Haircare,Oily Scalp,Oily,Flaky Skin; Uneven Tone,Potato Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
210,Haircare,Hair Fall,Normal,Roughness; Dark Spots,Lemon Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
211,Haircare,Dandruff,All,Itching; Dry Texture,Gram Flour; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
212,Haircare,Premature Greying,All,Uneven Tone; Dry Texture,Rose Water; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
213,Haircare,Hair Thinning,Curly,Inflammation; Itching,Neem Powder; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
214,Haircare,Hair Fall,Oily,Hair Shedding; Breakage,Green Tea; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
215,Skincare,Oily Skin,Dry,Roughness; Excess Oil,Yogurt; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
216,Skincare,Sensitive Skin,Oily,Dark Spots; Roughness,Honey; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
217,Haircare,Hair Growth,Oily,Flaky Skin; Excess Oil,Neem Powder; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
218,Haircare,Oily Scalp,All,Scalp Irritation; Flaky Skin,Potato Juice; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
219,Skincare,Open Pores,Combination,Flaky Skin; Excess Oil,Rose Water; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
220,Haircare,Oily Scalp,Dry,Breakage; Flaky Skin,Potato Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
221,Haircare,Frizzy Hair,Normal,Dull Appearance; Breakage,Honey; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
222,Skincare,Sensitive Skin,Dry,Itching; Breakage,Yogurt; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
223,Skincare,Blackheads,Sensitive,Excess Oil; Roughness,Rose Water; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
224,Skincare,Open Pores,Oily,Dry Texture; Breakage,Banana; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
225,Skincare,Dark Circles,Combination,Dry Texture; Dull Appearance,Potato Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
226,Skincare,Rashes,Sensitive,Dull Appearance; Hair Shedding,Lemon Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
227,Skincare,Open Pores,Dry,Scalp Irritation; Dark Spots,Yogurt; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
228,Skincare,Dry Skin,Sensitive,Breakage; Itching,Gram Flour; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
229,Haircare,Hair Growth,Normal,Dry Texture; Excess Oil,Egg Yolk; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
230,Haircare,Split Ends,Normal,Inflammation; Excess Oil,Neem Powder; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
231,Haircare,Frizzy Hair,Oily,Redness; Dark Spots,Green Tea; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
232,Skincare,Wrinkles,Sensitive,Inflammation; Scalp Irritation,Turmeric; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
233,Haircare,Dry Hair,Curly,Uneven Tone; Inflammation,Banana; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
234,Skincare,Dry Skin,Normal,Inflammation; Uneven Tone,Coconut Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
235,Haircare,Itchy Scalp,Curly,Roughness; Uneven Tone,Honey; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
236,Haircare,Hair Fall,Straight,Itching; Excess Oil,Aloe Vera; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
237,Haircare,Dry Hair,All,Hair Shedding; Inflammation,Egg Yolk; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
238,Haircare,Frizzy Hair,Oily,Breakage; Roughness,Papaya; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
239,Skincare,Sensitive Skin,Oily,Redness; Roughness,Multani Mitti; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
240,Skincare,Whiteheads,Combination,Uneven Tone; Scalp Irritation,Potato Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
241,Skincare,Dark Circles,Sensitive,Uneven Tone; Inflammation,Coconut Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
242,Haircare,Hair Fall,Curly,Roughness; Dark Spots,Neem Powder; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
243,Haircare,Oily Scalp,Curly,Redness; Scalp Irritation,Potato Juice; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs
244,Skincare,Dry Skin,Normal,Dry Texture; Uneven Tone,Turmeric; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
245,Haircare,Hair Thinning,Normal,Inflammation; Dull Appearance,Rose Water; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
246,Skincare,Sun Tan,Normal,Redness; Excess Oil,Green Tea; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
247,Skincare,Dull Skin,Oily,Redness; Excess Oil,Onion Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
248,Haircare,Hair Thinning,All,Roughness; Dry Texture,Olive Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
249,Haircare,Hair Thinning,Curly,Breakage; Scalp Irritation,Coconut Oil; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
250,Haircare,Dry Hair,Dry,Itching; Dark Spots,Banana; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
251,Skincare,Sensitive Skin,Combination,Itching; Flaky Skin,Onion Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
252,Haircare,Dry Hair,Normal,Dark Spots; Roughness,Rose Water; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
253,Haircare,Oily Scalp,Straight,Uneven Tone; Inflammation,Yogurt; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
254,Haircare,Split Ends,Curly,Uneven Tone; Inflammation,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
255,Haircare,Split Ends,Oily,Dry Texture; Inflammation,Gram Flour; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
256,Skincare,Pigmentation,All,Roughness; Redness,Onion Juice; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
257,Skincare,Acne,Dry,Dull Appearance; Breakage,Multani Mitti; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
258,Haircare,Hair Growth,Oily,Dark Spots; Redness,Fenugreek Seeds; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
259,Haircare,Frizzy Hair,Normal,Excess Oil; Scalp Irritation,Coconut Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
260,Skincare,Wrinkles,Normal,Dull Appearance; Excess Oil,Fenugreek Seeds; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
261,Haircare,Hair Fall,Oily,Flaky Skin; Dull Appearance,Neem Powder; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
262,Haircare,Premature Greying,Straight,Scalp Irritation; Uneven Tone,Banana; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
263,Haircare,Oily Scalp,Normal,Breakage; Scalp Irritation,Turmeric; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
264,Skincare,Sun Tan,Normal,Inflammation; Excess Oil,Aloe Vera; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
265,Skincare,Open Pores,Combination,Dry Texture; Dull Appearance,Yogurt; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
266,Haircare,Hair Thinning,Dry,Excess Oil; Dark Spots,Yogurt; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
267,Skincare,Open Pores,All,Redness; Roughness,Turmeric; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
268,Skincare,Sensitive Skin,All,Dry Texture; Breakage,Papaya; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
269,Haircare,Hair Thinning,Oily,Dull Appearance; Roughness,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
270,Haircare,Hair Growth,Curly,Scalp Irritation; Breakage,Egg Yolk; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
271,Skincare,Pigmentation,Oily,Redness; Itching,Onion Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
272,Haircare,Split Ends,Oily,Hair Shedding; Scalp Irritation,Potato Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
273,Haircare,Premature Greying,Normal,Flaky Skin; Hair Shedding,Egg Yolk; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
274,Skincare,Wrinkles,Combination,Itching; Redness,Neem Powder; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
275,Haircare,Hair Growth,Oily,Breakage; Inflammation,Neem Powder; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
276,Skincare,Rashes,Normal,Hair Shedding; Dull Appearance,Onion Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
277,Skincare,Sun Tan,Combination,Hair Shedding; Roughness,Turmeric; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
278,Haircare,Hair Growth,Normal,Uneven Tone; Dull Appearance,Multani Mitti; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
279,Haircare,Itchy Scalp,Curly,Redness; Breakage,Aloe Vera; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
280,Haircare,Hair Growth,Normal,Itching; Uneven Tone,Castor Oil; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
281,Skincare,Rashes,Oily,Excess Oil; Scalp Irritation,Onion Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
282,Skincare,Dull Skin,Combination,Roughness; Dark Spots,Banana; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
